City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Port Elizabeth,ZA,2021-02-02 23:51:18,-33.918,25.5701,66.2,88,0,6.91
159,Huanren,CN,2021-02-02 23:51:18,41.2647,125.3667,1.49,87,0,3.06
160,Dong Xoai,VN,2021-02-02 23:51:18,11.5333,106.9167,67.24,78,25,3.98
161,Otradnoye,RU,2021-02-02 23:51:18,59.7775,30.8181,23.0,86,90,8.95
162,Culaman,PH,2021-02-02 23:51:18,5.9603,125.6586,81.12,72,100,12.48
163,Hilo,US,2021-02-02 23:46:31,19.7297,-155.09,78.8,57,90,13.8
164,Byron Bay,AU,2021-02-02 23:51:19,-28.65,153.6167,73.4,88,90,11.5
165,Mushie,CD,2021-02-02 23:51:19,-3.0167,16.9,73.22,86,100,2.37
166,Port Blair,IN,2021-02-02 23:51:19,11.6667,92.75,75.45,77,0,11.25
167,Old Shinyanga,TZ,2021-02-02 23:51:19,-3.55,33.4,68.97,69,78,5.55
168,Pevek,RU,2021-02-02 23:51:19,69.7008,170.3133,8.98,92,100,10.76
169,Sinjai,ID,2021-02-02 23:51:19,-5.1241,120.253,81.46,72,100,3.78
170,Tarauaca,BR,2021-02-02 23:51:19,-8.1614,-70.7656,75.99,80,47,2.06
171,Saint-Georges,GD,2021-02-02 23:51:20,12.0564,-61.7485,80.6,74,40,16.78
172,Samarai,PG,2021-02-02 23:51:20,-10.6167,150.6667,84.13,67,97,6.33
173,Port Alfred,ZA,2021-02-02 23:51:20,-33.5906,26.891,66.99,90,26,7.07
174,Proletariy,RU,2021-02-02 23:51:20,58.4342,31.7046,23.61,92,100,9.91
175,Jalu,LY,2021-02-02 23:51:20,29.0331,21.5482,50.13,59,9,2.01
176,Pringsewu,ID,2021-02-02 23:51:20,-5.3582,104.9744,73.8,93,100,2.71
177,Osa,RU,2021-02-02 23:51:20,57.2829,55.4567,4.26,94,17,3.87
178,Halifax,CA,2021-02-02 23:49:28,44.6453,-63.5724,45.0,100,100,20.71
179,Provideniya,RU,2021-02-02 23:51:21,64.3833,-173.3,5.97,90,100,18.9
180,Neiafu,TO,2021-02-02 23:49:35,-18.65,-173.9833,82.4,89,75,10.36
