City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
461,Tarakan,ID,3.3,117.6333,82.4,83,75,3.44,broken clouds
462,Xuddur,SO,4.1213,43.8894,65.23,89,29,15.17,scattered clouds
463,Steamboat Springs,US,40.485,-106.8317,30.99,55,90,9.22,snow
464,Cairns,AU,-16.9167,145.7667,89.01,74,100,5.75,overcast clouds
465,Puerto Carreno,CO,6.189,-67.4859,84.24,52,100,13.29,overcast clouds
466,Awbari,LY,26.5921,12.7805,61.16,28,0,13.31,clear sky
467,Yar-Sale,RU,66.8333,70.8333,-26.19,86,100,16.87,overcast clouds
468,Port Hope,US,43.9408,-82.7127,17.6,62,100,6.91,overcast clouds
469,West Bay,KY,19.3667,-81.4167,81.0,78,20,10.36,few clouds
470,Kapit,MY,2.0167,112.9333,81.09,82,100,1.07,overcast clouds
471,Sistranda,NO,63.7256,8.834,23.0,80,40,10.36,scattered clouds
472,Garango,BF,11.8,-0.5506,76.91,20,90,8.46,overcast clouds
473,Rantauprapat,ID,2.1,99.8333,82.65,68,28,0.78,scattered clouds
474,Trairi,BR,-3.2778,-39.2689,77.68,84,36,6.55,scattered clouds
475,Eisiskes,LT,54.1667,25.0,-0.99,84,75,1.14,light snow
476,Lichtenvoorde,NL,51.9867,6.5667,28.0,94,100,11.01,snow
477,Borogontsy,RU,62.6683,131.1683,-29.99,82,100,3.44,overcast clouds
478,Udayagiri,IN,20.1333,84.3833,60.12,42,0,2.77,clear sky
479,Avigliano,IT,40.7329,15.72,59.0,30,0,17.27,clear sky
480,Nador,MA,35.174,-2.9287,55.4,71,0,5.75,clear sky
481,Kaeo,NZ,-35.1,173.7833,73.0,62,97,14.0,overcast clouds
482,Platteville,US,42.7342,-90.4785,1.4,66,1,11.5,clear sky
483,Lorengau,PG,-2.0226,147.2712,86.38,66,100,5.55,overcast clouds
484,Port Blair,IN,11.6667,92.75,80.98,70,0,9.84,clear sky
485,Severo-Yeniseyskiy,RU,60.3725,93.0408,18.66,97,95,11.01,overcast clouds
486,Nova Olimpia,BR,-14.7972,-57.2881,75.43,68,69,2.06,broken clouds
487,Saskylakh,RU,71.9167,114.0833,-42.0,78,24,7.58,few clouds
488,Sungai Besar,MY,3.6746,100.9867,79.56,81,78,3.85,broken clouds
489,Makakilo City,US,21.3469,-158.0858,78.8,44,1,14.97,clear sky
490,Komsomolets,KZ,53.7453,62.0708,5.05,87,12,23.04,few clouds
491,Duldurga,RU,50.6761,113.5931,-0.53,86,94,2.48,overcast clouds
492,Port-Gentil,GA,-0.7193,8.7815,81.5,79,99,13.78,overcast clouds
493,Progreso,MX,21.2833,-89.6667,77.0,73,20,6.87,few clouds
494,Kawalu,ID,-7.3817,108.2082,82.62,68,54,3.89,broken clouds
495,Erenhot,CN,43.6475,111.9767,7.18,90,0,6.35,clear sky
496,Bayevo,RU,53.2833,80.7667,31.35,97,100,26.19,light snow
497,Mikhaylovka,RU,50.06,43.2379,10.99,81,100,5.99,overcast clouds
498,Ketchikan,US,55.3422,-131.6461,37.4,80,90,8.05,overcast clouds
499,Gemena,CD,3.25,19.7667,70.75,74,11,1.01,few clouds
500,Tilichiki,RU,60.4667,166.1,18.03,88,100,17.92,light snow
501,Khasan,RU,42.4308,130.6434,17.42,84,0,14.38,clear sky
502,Tsybuliv,UA,49.0766,29.8461,13.68,96,100,7.0,overcast clouds
503,Snezhnogorsk,RU,69.1933,33.2531,23.0,86,75,13.42,light snow
504,Plettenberg Bay,ZA,-34.0527,23.3716,68.61,73,69,6.58,broken clouds
505,Santana Do Matos,BR,-5.9575,-36.6556,75.31,77,0,8.77,clear sky
506,Eugene,US,44.0521,-123.0867,48.2,76,90,8.05,overcast clouds
507,Ouesso,CG,1.6136,16.0517,74.17,78,56,2.71,broken clouds
508,Broome,US,42.2506,-75.833,24.8,33,1,3.44,clear sky
509,Riohacha,CO,11.5444,-72.9072,77.4,66,100,14.25,overcast clouds
510,Velizh,RU,55.6056,31.1967,0.21,93,91,6.04,overcast clouds
511,Kahului,US,20.8947,-156.47,78.8,50,40,11.5,scattered clouds
512,Nsanje,MW,-16.92,35.262,74.98,94,100,1.83,overcast clouds
513,Bobrov,RU,51.0961,40.0333,4.69,89,100,12.88,overcast clouds
514,Kenitra,MA,34.261,-6.5802,50.0,100,75,10.36,broken clouds
515,Florence,IT,43.7667,11.25,55.0,93,75,2.3,light rain
516,Xichang,CN,27.8964,102.2634,49.78,48,0,2.71,clear sky
517,Cobija,BO,-11.0267,-68.7692,74.46,95,99,2.08,overcast clouds
518,Kishtwar,IN,33.3167,75.7667,38.62,56,0,5.7,clear sky
519,Geraldton,AU,-28.7667,114.6,73.4,78,75,23.02,broken clouds
520,Nishihara,JP,26.1842,127.7558,71.6,56,20,6.91,few clouds
521,Gorele,TR,41.0308,39.0031,51.8,58,0,3.44,clear sky
522,Wajid,SO,3.8093,43.2471,69.28,75,0,14.14,clear sky
523,Mmabatho,ZA,-25.85,25.6333,64.4,100,49,4.61,scattered clouds
524,Muzhi,RU,65.3667,64.6667,-29.22,84,100,16.42,light snow
525,Haines Junction,CA,60.7522,-137.5108,-14.8,70,66,1.59,broken clouds
526,La Plata,AR,-34.9215,-57.9545,72.0,90,0,1.99,clear sky
527,Jizan,SA,17.3333,42.6667,71.6,78,20,0.34,few clouds
